nit,razon_social,ciiu,estado,fecha_corte,activo_corriente,activo_total,pasivo_corriente,pasivo_total,ganancias_acumuladas,patrimonio,ingresos,utilidad_operacional,utilidad_neta,anio
800000755,COLOMBIANA DE TURISMO Y EXPRESOS SA,H4921 - Transporte de pasajeros,ACTIVA,2018-12-31,7965025.0,36619440.0,1213540.0,10265542.0,7849020.0,26353898.0,8669556.0,1351763.0,1351763.0,2018
800003267,INTERGRAFIC DE OCCIDENTE SA,C1811 - Actividades de impresión,ACTIVA,2018-12-31,21658382.0,51176948.0,24480382.0,40402696.0,3568268.0,10774252.0,42692687.0,7407145.0,1342217.0,2018
800004599,COMERCIALIZADORA MARDEN LTDA,G4669 - Comercio al por mayor de otros productos n.c.p.,ACTIVA,2018-12-31,24429166.0,45214992.0,16865817.0,21995005.0,8223396.0,23219987.0,36123377.0,1036777.0,99489.0,2018
800005260,INDUSTRIAS INVERSIONES Y SERVICIOS DELRIO S.A.S.,G4690 - Comercio al por mayor no especializado,ACTIVA,2018-12-31,49731005.0,56326646.0,11764542.0,13288208.0,8781672.0,43038438.0,76969515.0,10413690.0,7417673.0,2018
800005492,EDITORIAL TELEVISA COLOMBIA S.A,"J5813 - Edición de periódicos, revistas y otras publicaciones periódicas",ACTIVA,2018-12-31,2352939.0,10122822.0,14859350.0,15665921.0,-16548174.0,-5543099.0,6815544.0,-1731495.0,-1866374.0,2018
800007193,SAPUGA S.A.,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,ACTIVA,2018-12-31,2484867.0,82868311.0,10174744.0,27450526.0,4496001.0,55417785.0,24808737.0,1595616.0,8419.0,2018
800007202,ALTALENE,C2229 - Fabricación de artículos de plástico n.c.p.,ACTIVA,2018-12-31,15097205.0,31958039.0,12702203.0,14969205.0,1141497.0,16988834.0,29255299.0,1178748.0,-752945.0,2018
800008151,ELECTRICOS IMPORTADOS S.A. EIMPSA,G4690 - Comercio al por mayor no especializado,ACTIVA,2018-12-31,21145274.0,33626824.0,18628998.0,22282920.0,4462736.0,11343904.0,40547515.0,862651.0,198412.0,2018
800010961,NORCARBON S A S EN REORGANIZACION,B0510 - Extracción de hulla (carbón de piedra),ACUERDO DE REORGANIZACION,2018-12-31,11744909.0,83869085.0,120610159.0,138906169.0,-132473395.0,-55037084.0,0.0,-2020834.0,-7063332.0,2018
800010983,PROTERRA HABITAT S A S,F4111 - Construcción de edificios residenciales,ACTIVA,2018-12-31,15044455.0,31667999.0,744234.0,5544234.0,15955286.0,26123765.0,2093373.0,2014091.0,1672509.0,2018
800011002,TECNAS S.A.,C1089 - Elaboración de otros productos alimenticios n.c.p.,ACTIVA,2018-12-31,44844603.0,72490038.0,25107432.0,42933207.0,7256250.0,29556831.0,101817317.0,10624277.0,6553779.0,2018
800011955,DIGITAL ESTEREO SAS,J6010 - Actividades de programación y transmisión en el servicio de radiodifusión sonora,ACTIVA,2018-12-31,3411697.0,3611987.0,103276.0,103276.0,1384662.0,3508711.0,628636.0,514133.0,347787.0,2018
800011987,TENARIS TUBOCARIBE LTDA,C2410 - Industrias básicas de hierro y de acero,ACTIVA,2018-12-31,707699723.0,1545730164.0,1040272087.0,1048690379.0,-43397202.0,497039785.0,938588495.0,106060069.0,45897901.0,2018
